date,state,district,total_bio_updates
2025-03-31,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,197
2025-03-31,ARUNACHAL PRADESH,LOWER SIANG,38
2025-03-31,ARUNACHAL PRADESH,LOWER SUBANSIRI,209
2025-03-31,ARUNACHAL PRADESH,NAMSAI,487
2025-03-31,ARUNACHAL PRADESH,PAKKE KESSANG,18
2025-03-31,ARUNACHAL PRADESH,PAPUM PARE,1062
2025-03-31,ARUNACHAL PRADESH,SHI-YOMI,26
2025-03-31,ARUNACHAL PRADESH,SIANG,117
2025-03-31,ARUNACHAL PRADESH,TAWANG,198
2025-03-31,ARUNACHAL PRADESH,TIRAP,102
2025-03-31,ARUNACHAL PRADESH,UPPER SIANG,125
2025-03-31,ARUNACHAL PRADESH,UPPER SUBANSIRI,559
2025-03-31,ARUNACHAL PRADESH,WEST KAMENG,613
2025-03-31,ARUNACHAL PRADESH,WEST SIANG,387
2025-03-31,ASSAM,BAKSA,1860
2025-03-31,ASSAM,BARPETA,10804
2025-03-31,ASSAM,BISWANATH,841
2025-03-31,ASSAM,BONGAIGAON,4181
2025-03-31,ASSAM,CACHAR,4187
2025-03-31,ASSAM,CHARAIDEO,617
2025-03-31,ASSAM,CHIRANG,2290
2025-03-31,ASSAM,DARRANG,1605
2025-03-31,ASSAM,DHEMAJI,2456
2025-03-31,ASSAM,DHUBRI,8420
2025-03-31,ASSAM,DIBRUGARH,3759
2025-03-31,ASSAM,GOALPARA,1449
2025-03-31,ASSAM,GOLAGHAT,1408
2025-03-31,ASSAM,HAILAKANDI,794
2025-03-31,ASSAM,HOJAI,2824
2025-03-31,ASSAM,JORHAT,1438
2025-03-31,ASSAM,KAMRUP,3799
2025-03-31,ASSAM,KAMRUP METRO,3461
2025-03-31,ASSAM,KARBI ANGLONG,3031
2025-03-31,ASSAM,KARIMGANJ,1822
2025-03-31,ASSAM,KOKRAJHAR,4280
2025-03-31,ASSAM,LAKHIMPUR,2823
2025-03-31,ASSAM,MAJULI,444
2025-03-31,ASSAM,MARIGAON,3523
2025-03-31,ASSAM,NAGAON,8289
2025-03-31,ASSAM,NALBARI,2363
2025-03-31,ASSAM,NORTH CACHAR HILLS,183
2025-03-31,ASSAM,SIBSAGAR,1111
2025-03-31,ASSAM,SONITPUR,2988
2025-03-31,ASSAM,SOUTH SALMARA MANKACHAR,382
2025-03-31,ASSAM,TINSUKIA,1981
2025-03-31,ASSAM,UDALGURI,3283
2025-03-31,ASSAM,WEST KARBI ANGLONG,235
2025-03-31,BIHAR,ARARIA,27033
2025-03-31,BIHAR,ARWAL,4732
2025-03-31,BIHAR,AURANGABAD,13823
2025-03-31,BIHAR,BANKA,14796
2025-03-31,BIHAR,BEGUSARAI,25384
2025-03-31,BIHAR,BHAGALPUR,25298
2025-03-31,BIHAR,BHOJPUR,17270
2025-03-31,BIHAR,BUXAR,8201
2025-03-31,BIHAR,DARBHANGA,31052
2025-03-31,BIHAR,EAST CHAMPARAN,33909
2025-03-31,BIHAR,GAYA,37727
2025-03-31,BIHAR,GOPALGANJ,14054
2025-03-31,BIHAR,JAMUI,12665
2025-03-31,BIHAR,JEHANABAD,6408
2025-03-31,BIHAR,KAIMUR (BHABUA),13929
2025-03-31,BIHAR,KATIHAR,33634
2025-03-31,BIHAR,KHAGARIA,13005
2025-03-31,BIHAR,KISHANGANJ,16294
2025-03-31,BIHAR,LAKHISARAI,7687
2025-03-31,BIHAR,MADHEPURA,17817
2025-03-31,BIHAR,MADHUBANI,37883
2025-03-31,BIHAR,MUNGER,7804
2025-03-31,BIHAR,MUZAFFARPUR,31812
2025-03-31,BIHAR,NALANDA,18080
2025-03-31,BIHAR,NAWADA,16357
2025-03-31,BIHAR,PATNA,30090
2025-03-31,BIHAR,PURNEA,547
2025-03-31,BIHAR,PURNIA,31049
2025-03-31,BIHAR,ROHTAS,16838
2025-03-31,BIHAR,SAHARSA,18702
2025-03-31,BIHAR,SAMASTIPUR,33151
2025-03-31,BIHAR,SARAN,20868
2025-03-31,BIHAR,SHEIKHPURA,5340
2025-03-31,BIHAR,SHEOHAR,5051
2025-03-31,BIHAR,SITAMARHI,28500
2025-03-31,BIHAR,SIWAN,17190
2025-03-31,BIHAR,SUPAUL,18542
2025-03-31,BIHAR,VAISHALI,25879
2025-03-31,BIHAR,WEST CHAMPARAN,25108
2025-03-31,CHANDIGARH,CHANDIGARH,6430
2025-03-31,CHHATTISGARH,BALOD,5814
2025-03-31,CHHATTISGARH,BALODA BAZAR,6711
2025-03-31,CHHATTISGARH,BALRAMPUR,1933
2025-03-31,CHHATTISGARH,BASTAR,5262
2025-03-31,CHHATTISGARH,BEMETARA,8169
2025-03-31,CHHATTISGARH,BIJAPUR,3194
2025-03-31,CHHATTISGARH,BILASPUR,12003
2025-03-31,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,1523
2025-03-31,CHHATTISGARH,DANTEWADA,714
2025-03-31,CHHATTISGARH,DHAMTARI,6532
2025-03-31,CHHATTISGARH,DURG,13297
2025-03-31,CHHATTISGARH,GARIYABAND,2165
2025-03-31,CHHATTISGARH,GAURELA-PENDRA-MARWAHI,116
2025-03-31,CHHATTISGARH,JANJGIR-CHAMPA,12886
2025-03-31,CHHATTISGARH,JASHPUR,4292
2025-03-31,CHHATTISGARH,KABEERDHAM,1657
2025-03-31,CHHATTISGARH,KANKER,3002
2025-03-31,CHHATTISGARH,KAWARDHA,4075
2025-03-31,CHHATTISGARH,KONDAGAON,2696
2025-03-31,CHHATTISGARH,KORBA,12543
2025-03-31,CHHATTISGARH,KORIYA,4207
2025-03-31,CHHATTISGARH,MAHASAMUND,6984
2025-03-31,CHHATTISGARH,MOHLA-MANPUR-AMBAGARH CHOUKI,145
2025-03-31,CHHATTISGARH,MUNGELI,3433
2025-03-31,CHHATTISGARH,NARAYANPUR,2048
2025-03-31,CHHATTISGARH,RAIGARH,9649
2025-03-31,CHHATTISGARH,RAIPUR,12419
2025-03-31,CHHATTISGARH,RAJNANDGAON,11075
2025-03-31,CHHATTISGARH,SAKTI,59
2025-03-31,CHHATTISGARH,SUKMA,1431
2025-03-31,CHHATTISGARH,SURAJPUR,5077
2025-03-31,CHHATTISGARH,SURGUJA,4864
2025-03-31,CHHATTISGARH,UTTAR BASTAR KANKER,1417
2025-03-31,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,139
2025-03-31,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,3200
2025-03-31,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI,386
2025-03-31,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,73
2025-03-31,DAMAN & DIU,DAMAN,304
2025-03-31,DAMAN & DIU,DIU,63
2025-03-31,DAMAN AND DIU,DAMAN,566
2025-03-31,DAMAN AND DIU,DIU,356
2025-03-31,DELHI,CENTRAL DELHI,6104
2025-03-31,DELHI,EAST DELHI,13135
2025-03-31,DELHI,NAJAFGARH,195
2025-03-31,DELHI,NEW DELHI,686
2025-03-31,DELHI,NORTH DELHI,7093
2025-03-31,DELHI,NORTH EAST,4659
2025-03-31,DELHI,NORTH EAST DELHI,13709
2025-03-31,DELHI,NORTH WEST DELHI,44904
2025-03-31,DELHI,SHAHDARA,910
2025-03-31,DELHI,SOUTH DELHI,28161
2025-03-31,DELHI,SOUTH EAST DELHI,59
2025-03-31,DELHI,SOUTH WEST DELHI,20474
2025-03-31,DELHI,WEST DELHI,24279
2025-03-31,GOA,NORTH GOA,4442
2025-03-31,GOA,SOUTH GOA,4541
2025-03-31,GUJARAT,AHMADABAD,774
2025-03-31,GUJARAT,AHMEDABAD,48395
2025-03-31,GUJARAT,AMRELI,7312
2025-03-31,GUJARAT,ANAND,14071
2025-03-31,GUJARAT,ARVALLI,2704
2025-03-31,GUJARAT,BANASKANTHA,18704
2025-03-31,GUJARAT,BHARUCH,9933
2025-03-31,GUJARAT,BHAVNAGAR,18070
2025-03-31,GUJARAT,BOTAD,2178
2025-03-31,GUJARAT,CHHOTAUDEPUR,3350
2025-03-31,GUJARAT,DAHOD,14189
2025-03-31,GUJARAT,DEVBHUMI DWARKA,2761
2025-03-31,GUJARAT,DOHAD,1880
2025-03-31,GUJARAT,GANDHINAGAR,10178
2025-03-31,GUJARAT,GIR SOMNATH,4281
2025-03-31,GUJARAT,JAMNAGAR,10009
2025-03-31,GUJARAT,JUNAGADH,11933
2025-03-31,GUJARAT,KACHCHH,16282
2025-03-31,GUJARAT,KHEDA,16987
2025-03-31,GUJARAT,MAHESANA,12839
2025-03-31,GUJARAT,MAHISAGAR,3807
2025-03-31,GUJARAT,MORBI,3509
2025-03-31,GUJARAT,NARMADA,6608
2025-03-31,GUJARAT,NAVSARI,5048
2025-03-31,GUJARAT,PANCHMAHALS,13001
2025-03-31,GUJARAT,PATAN,7802
2025-03-31,GUJARAT,PORBANDAR,4036
2025-03-31,GUJARAT,RAJKOT,19813
2025-03-31,GUJARAT,SABARKANTHA,10628
2025-03-31,GUJARAT,SURAT,34095
2025-03-31,GUJARAT,SURENDRA NAGAR,14712
2025-03-31,GUJARAT,TAPI,5677
2025-03-31,GUJARAT,THE DANGS,4101
2025-03-31,GUJARAT,VADODARA,25074
2025-03-31,GUJARAT,VALSAD,11650
2025-03-31,HARYANA,AMBALA,9626
2025-03-31,HARYANA,BHIWANI,12204
2025-03-31,HARYANA,CHARKHI DADRI,1095
2025-03-31,HARYANA,FARIDABAD,13881
2025-03-31,HARYANA,FATEHABAD,9730
2025-03-31,HARYANA,GURGAON,8400
2025-03-31,HARYANA,HISAR,11762
2025-03-31,HARYANA,JHAJJAR,6284
2025-03-31,HARYANA,JIND,10674
2025-03-31,HARYANA,KAITHAL,9592
2025-03-31,HARYANA,KARNAL,11625
2025-03-31,HARYANA,KURUKSHETRA,9427
2025-03-31,HARYANA,MAHENDRAGARH,5013
2025-03-31,HARYANA,MEWAT,5497
2025-03-31,HARYANA,PALWAL,5695
2025-03-31,HARYANA,PANCHKULA,4455
2025-03-31,HARYANA,PANIPAT,9568
2025-03-31,HARYANA,REWARI,5223
2025-03-31,HARYANA,ROHTAK,9953
2025-03-31,HARYANA,SIRSA,11049
2025-03-31,HARYANA,SONIPAT,10626
2025-03-31,HARYANA,YAMUNA NAGAR,9891
2025-03-31,HARYANA,YAMUNANAGAR,104
2025-03-31,HIMACHAL PRADESH,BILASPUR,2962
2025-03-31,HIMACHAL PRADESH,CHAMBA,5077
2025-03-31,HIMACHAL PRADESH,HAMIRPUR,3333
2025-03-31,HIMACHAL PRADESH,KANGRA,12593
2025-03-31,HIMACHAL PRADESH,KINNAUR,395
2025-03-31,HIMACHAL PRADESH,KULLU,2690
2025-03-31,HIMACHAL PRADESH,MANDI,8713
2025-03-31,HIMACHAL PRADESH,SHIMLA,5057
2025-03-31,HIMACHAL PRADESH,SIRMAUR,6186
2025-03-31,HIMACHAL PRADESH,SOLAN,4088
2025-03-31,HIMACHAL PRADESH,UNA,4358
2025-03-31,JAMMU AND KASHMIR,ANANTNAG,5281
2025-03-31,JAMMU AND KASHMIR,BADGAM,2032
2025-03-31,JAMMU AND KASHMIR,BANDIPORE,2602
2025-03-31,JAMMU AND KASHMIR,BARAMULA,7898
2025-03-31,JAMMU AND KASHMIR,BUDGAM,2396
2025-03-31,JAMMU AND KASHMIR,DODA,4639
2025-03-31,JAMMU AND KASHMIR,GANDERBAL,1831
2025-03-31,JAMMU AND KASHMIR,JAMMU,11798
2025-03-31,JAMMU AND KASHMIR,KARGIL,369
2025-03-31,JAMMU AND KASHMIR,KATHUA,4721
2025-03-31,JAMMU AND KASHMIR,KISHTWAR,2619
2025-03-31,JAMMU AND KASHMIR,KULGAM,3491
2025-03-31,JAMMU AND KASHMIR,KUPWARA,5375
2025-03-31,JAMMU AND KASHMIR,LEH,355
2025-03-31,JAMMU AND KASHMIR,PULWAMA,2766
2025-03-31,JAMMU AND KASHMIR,PUNCH,7241
2025-03-31,JAMMU AND KASHMIR,RAJOURI,8577
2025-03-31,JAMMU AND KASHMIR,RAMBAN,2498
2025-03-31,JAMMU AND KASHMIR,REASI,3646
2025-03-31,JAMMU AND KASHMIR,SAMBA,1354
2025-03-31,JAMMU AND KASHMIR,SHUPIYAN,1862
2025-03-31,JAMMU AND KASHMIR,SRINAGAR,7052
2025-03-31,JAMMU AND KASHMIR,UDHAMPUR,7896
2025-03-31,JHARKHAND,BOKARO,11893
2025-03-31,JHARKHAND,CHATRA,12133
2025-03-31,JHARKHAND,DEOGHAR,11020
2025-03-31,JHARKHAND,DHANBAD,24150
2025-03-31,JHARKHAND,DUMKA,15319
2025-03-31,JHARKHAND,EAST SINGHBHUM,21884
2025-03-31,JHARKHAND,GARHWA,17392
2025-03-31,JHARKHAND,GARHWA *,899
2025-03-31,JHARKHAND,GIRIDIH,18222
2025-03-31,JHARKHAND,GODDA,14493
2025-03-31,JHARKHAND,GUMLA,10961
2025-03-31,JHARKHAND,HAZARIBAG,1043
2025-03-31,JHARKHAND,HAZARIBAGH,11614
2025-03-31,JHARKHAND,JAMTARA,6412
2025-03-31,JHARKHAND,KHUNTI,5375
2025-03-31,JHARKHAND,KODARMA,823
2025-03-31,JHARKHAND,KODERMA,6386
2025-03-31,JHARKHAND,LATEHAR,7634
2025-03-31,JHARKHAND,LOHARDAGA,7024
2025-03-31,JHARKHAND,PAKAUR,553
2025-03-31,JHARKHAND,PAKUR,7114
2025-03-31,JHARKHAND,PALAMAU,472
2025-03-31,JHARKHAND,PALAMU,19838
2025-03-31,JHARKHAND,PASHCHIMI SINGHBHUM,2280
2025-03-31,JHARKHAND,PURBI SINGHBHUM,3654
2025-03-31,JHARKHAND,RAMGARH,5533
2025-03-31,JHARKHAND,RANCHI,35145
2025-03-31,JHARKHAND,SAHEBGANJ,11515
2025-03-31,JHARKHAND,SAHIBGANJ,245
2025-03-31,JHARKHAND,SERAIKELA-KHARSAWAN,10689
2025-03-31,JHARKHAND,SIMDEGA,8043
2025-03-31,JHARKHAND,WEST SINGHBHUM,20528
2025-03-31,KARNATAKA,BAGALKOT,10462
2025-03-31,KARNATAKA,BAGALKOT *,175
2025-03-31,KARNATAKA,BALLARI,4609
2025-03-31,KARNATAKA,BANGALORE,23590
2025-03-31,KARNATAKA,BANGALORE RURAL,3501
2025-03-31,KARNATAKA,BELAGAVI,10324
2025-03-31,KARNATAKA,BELGAUM,15544
2025-03-31,KARNATAKA,BELLARY,8723
2025-03-31,KARNATAKA,BENGALURU,34570
2025-03-31,KARNATAKA,BIDAR,8663
2025-03-31,KARNATAKA,BIJAPUR,7400
2025-03-31,KARNATAKA,CHAMARAJANAGAR,99
2025-03-31,KARNATAKA,CHAMRAJANAGAR,2486
2025-03-31,KARNATAKA,CHAMRAJNAGAR,95
2025-03-31,KARNATAKA,CHICKMAGALUR,2660
2025-03-31,KARNATAKA,CHIKKABALLAPUR,5642
2025-03-31,KARNATAKA,CHIKKAMAGALURU,1707
2025-03-31,KARNATAKA,CHIKMAGALUR,106
2025-03-31,KARNATAKA,CHITRADURGA,6873
2025-03-31,KARNATAKA,DAKSHINA KANNADA,8259
2025-03-31,KARNATAKA,DAVANAGERE,607
2025-03-31,KARNATAKA,DAVANGERE,11487
2025-03-31,KARNATAKA,DHARWAD,13600
2025-03-31,KARNATAKA,GADAG,5396
2025-03-31,KARNATAKA,GADAG *,176
2025-03-31,KARNATAKA,GULBARGA,7499
2025-03-31,KARNATAKA,HASAN,964
2025-03-31,KARNATAKA,HASSAN,5426
2025-03-31,KARNATAKA,HAVERI,10760
2025-03-31,KARNATAKA,HAVERI *,197
2025-03-31,KARNATAKA,KALABURAGI,8102
2025-03-31,KARNATAKA,KODAGU,1841
2025-03-31,KARNATAKA,KOLAR,8024
2025-03-31,KARNATAKA,KOPPAL,6364
2025-03-31,KARNATAKA,MANDYA,6992
2025-03-31,KARNATAKA,MYSORE,6292
2025-03-31,KARNATAKA,MYSURU,6270
2025-03-31,KARNATAKA,RAICHUR,10530
2025-03-31,KARNATAKA,RAMANAGAR,4019
2025-03-31,KARNATAKA,SHIMOGA,2619
2025-03-31,KARNATAKA,SHIVAMOGGA,3218
2025-03-31,KARNATAKA,TUMAKURU,4440
2025-03-31,KARNATAKA,TUMKUR,7305
2025-03-31,KARNATAKA,UDUPI,3338
2025-03-31,KARNATAKA,UTTARA KANNADA,4533
2025-03-31,KARNATAKA,VIJAYANAGARA,2168
2025-03-31,KARNATAKA,VIJAYAPURA,7227
2025-03-31,KARNATAKA,YADGIR,7247
2025-03-31,KERALA,ALAPPUZHA,9477
2025-03-31,KERALA,ERNAKULAM,17117
2025-03-31,KERALA,IDUKKI,5525
2025-03-31,KERALA,KANNUR,11065
2025-03-31,KERALA,KASARAGOD,6768
2025-03-31,KERALA,KASARGOD,78
2025-03-31,KERALA,KOLLAM,13419
2025-03-31,KERALA,KOTTAYAM,7259
2025-03-31,KERALA,KOZHIKODE,13301
2025-03-31,KERALA,MALAPPURAM,23504
2025-03-31,KERALA,PALAKKAD,20561
2025-03-31,KERALA,PATHANAMTHITTA,6251
2025-03-31,KERALA,THIRUVANANTHAPURAM,17689
2025-03-31,KERALA,THRISSUR,16512
2025-03-31,KERALA,WAYANAD,4199
2025-03-31,LADAKH,KARGIL,520
2025-03-31,LADAKH,LEH,436
2025-03-31,LAKSHADWEEP,LAKSHADWEEP,425
2025-03-31,MADHYA PRADESH,AGAR MALWA,1689
2025-03-31,MADHYA PRADESH,ALIRAJPUR,4934
2025-03-31,MADHYA PRADESH,ANUPPUR,7632
2025-03-31,MADHYA PRADESH,ASHOK NAGAR,8839
2025-03-31,MADHYA PRADESH,BALAGHAT,14637
2025-03-31,MADHYA PRADESH,BARWANI,17933
2025-03-31,MADHYA PRADESH,BETUL,14622
2025-03-31,MADHYA PRADESH,BHIND,7793
2025-03-31,MADHYA PRADESH,BHOPAL,16512
2025-03-31,MADHYA PRADESH,BURHANPUR,5731
2025-03-31,MADHYA PRADESH,CHHATARPUR,21384
2025-03-31,MADHYA PRADESH,CHHINDWARA,13865
2025-03-31,MADHYA PRADESH,DAMOH,19991
2025-03-31,MADHYA PRADESH,DATIA,4739
2025-03-31,MADHYA PRADESH,DEWAS,9571
2025-03-31,MADHYA PRADESH,DHAR,16944
2025-03-31,MADHYA PRADESH,DINDORI,7111
2025-03-31,MADHYA PRADESH,EAST NIMAR,4324
2025-03-31,MADHYA PRADESH,GUNA,14369
2025-03-31,MADHYA PRADESH,GWALIOR,14437
2025-03-31,MADHYA PRADESH,HARDA,5003
2025-03-31,MADHYA PRADESH,HARDA *,1126
2025-03-31,MADHYA PRADESH,HOSHANGABAD,10276
2025-03-31,MADHYA PRADESH,INDORE,21813
2025-03-31,MADHYA PRADESH,JABALPUR,14112
2025-03-31,MADHYA PRADESH,JHABUA,8928
2025-03-31,MADHYA PRADESH,KATNI,12142
2025-03-31,MADHYA PRADESH,KHANDWA,5873
2025-03-31,MADHYA PRADESH,KHARGONE,20110
2025-03-31,MADHYA PRADESH,MANDLA,7331
2025-03-31,MADHYA PRADESH,MANDSAUR,11845
2025-03-31,MADHYA PRADESH,MORENA,20905
2025-03-31,MADHYA PRADESH,NARMADAPURAM,853
2025-03-31,MADHYA PRADESH,NARSIMHAPUR,687
2025-03-31,MADHYA PRADESH,NARSINGHPUR,4813
2025-03-31,MADHYA PRADESH,NEEMUCH,4589
2025-03-31,MADHYA PRADESH,NIWARI,290
2025-03-31,MADHYA PRADESH,PANNA,13491
2025-03-31,MADHYA PRADESH,RAISEN,8776
2025-03-31,MADHYA PRADESH,RAJGARH,24094
2025-03-31,MADHYA PRADESH,RATLAM,10616
2025-03-31,MADHYA PRADESH,REWA,24048
2025-03-31,MADHYA PRADESH,SAGAR,23831
2025-03-31,MADHYA PRADESH,SATNA,18432
2025-03-31,MADHYA PRADESH,SEHORE,13006
2025-03-31,MADHYA PRADESH,SEONI,11413
2025-03-31,MADHYA PRADESH,SHAHDOL,11053
2025-03-31,MADHYA PRADESH,SHAJAPUR,16183
2025-03-31,MADHYA PRADESH,SHEOPUR,6859
2025-03-31,MADHYA PRADESH,SHIVPURI,16731
2025-03-31,MADHYA PRADESH,SIDHI,20299
2025-03-31,MADHYA PRADESH,SINGRAULI,15293
2025-03-31,MADHYA PRADESH,TIKAMGARH,22413
2025-03-31,MADHYA PRADESH,UJJAIN,12345
2025-03-31,MADHYA PRADESH,UMARIA,4590
2025-03-31,MADHYA PRADESH,VIDISHA,11110
2025-03-31,MADHYA PRADESH,WEST NIMAR,1022
2025-03-31,MAHARASHTRA,AHMADNAGAR,30983
2025-03-31,MAHARASHTRA,AHMED NAGAR,185
2025-03-31,MAHARASHTRA,AKOLA,25629
2025-03-31,MAHARASHTRA,AMRAVATI,40313
2025-03-31,MAHARASHTRA,AURANGABAD,33427
2025-03-31,MAHARASHTRA,BEED,24439
2025-03-31,MAHARASHTRA,BHANDARA,11265
2025-03-31,MAHARASHTRA,BID,427
2025-03-31,MAHARASHTRA,BULDANA,3266
2025-03-31,MAHARASHTRA,BULDHANA,20125
2025-03-31,MAHARASHTRA,CHANDRAPUR,24577
2025-03-31,MAHARASHTRA,CHATRAPATI SAMBHAJI NAGAR,287
2025-03-31,MAHARASHTRA,CHHATRAPATI SAMBHAJINAGAR,187
2025-03-31,MAHARASHTRA,DHULE,19200
2025-03-31,MAHARASHTRA,GADCHIROLI,12594
2025-03-31,MAHARASHTRA,GONDIYA,11337
2025-03-31,MAHARASHTRA,HINGOLI,8080
2025-03-31,MAHARASHTRA,JALGAON,40620
2025-03-31,MAHARASHTRA,JALNA,16790
2025-03-31,MAHARASHTRA,KOLHAPUR,27684
2025-03-31,MAHARASHTRA,LATUR,28946
2025-03-31,MAHARASHTRA,MUMBAI,39068
2025-03-31,MAHARASHTRA,MUMBAI CITY,4453
2025-03-31,MAHARASHTRA,MUMBAI SUBURBAN,16820
2025-03-31,MAHARASHTRA,NAGPUR,41753
2025-03-31,MAHARASHTRA,NANDED,38711
2025-03-31,MAHARASHTRA,NANDURBAR,17441
2025-03-31,MAHARASHTRA,NASHIK,62915
2025-03-31,MAHARASHTRA,OSMANABAD,17984
2025-03-31,MAHARASHTRA,PALGHAR,14916
2025-03-31,MAHARASHTRA,PARBHANI,20764
2025-03-31,MAHARASHTRA,PUNE,66091
2025-03-31,MAHARASHTRA,RAIGAD,1351
2025-03-31,MAHARASHTRA,RAIGARH,15292
2025-03-31,MAHARASHTRA,RATNAGIRI,12204
2025-03-31,MAHARASHTRA,SANGLI,26284
2025-03-31,MAHARASHTRA,SATARA,22350
2025-03-31,MAHARASHTRA,SINDHUDURG,5527
2025-03-31,MAHARASHTRA,SOLAPUR,35387
2025-03-31,MAHARASHTRA,THANE,51759
2025-03-31,MAHARASHTRA,WARDHA,15052
2025-03-31,MAHARASHTRA,WASHIM,14237
2025-03-31,MAHARASHTRA,YAVATMAL,38429
2025-03-31,MANIPUR,BISHNUPUR,1131
2025-03-31,MANIPUR,CHANDEL,1144
2025-03-31,MANIPUR,CHURACHANDPUR,1662
2025-03-31,MANIPUR,IMPHAL EAST,2623
2025-03-31,MANIPUR,IMPHAL WEST,2258
2025-03-31,MANIPUR,JIRIBAM,249
2025-03-31,MANIPUR,KAKCHING,79
2025-03-31,MANIPUR,SENAPATI,1905
2025-03-31,MANIPUR,TAMENGLONG,544
2025-03-31,MANIPUR,THOUBAL,2336
2025-03-31,MANIPUR,UKHRUL,1735
2025-03-31,MEGHALAYA,EAST GARO HILLS,438
2025-03-31,MEGHALAYA,EAST JAINTIA HILLS,226
2025-03-31,MEGHALAYA,EAST KHASI HILLS,2584
2025-03-31,MEGHALAYA,NORTH GARO HILLS,154
2025-03-31,MEGHALAYA,RI BHOI,426
2025-03-31,MEGHALAYA,SOUTH GARO HILLS,136
2025-03-31,MEGHALAYA,SOUTH WEST GARO HILLS,782
2025-03-31,MEGHALAYA,SOUTH WEST KHASI HILLS,602
2025-03-31,MEGHALAYA,WEST GARO HILLS,4819
2025-03-31,MEGHALAYA,WEST JAINTIA HILLS,931
2025-03-31,MEGHALAYA,WEST KHASI HILLS,719
2025-03-31,MIZORAM,AIZAWL,15783
